ko_maticni_broj,municipalityName,cadmunName,parcels_total,parcels_with_buildings
701017,ALEKSINAC,DONJE SUHOTNO,143,113
701025,ALEKSINAC,DONJI ADROVAC,360,339
701033,ALEKSINAC,DONJI LJUBEŠ,363,349
701041,MEROŠINA,DUDULAJCE,199,146
701050,ALEKSINAC,ŽITKOVAC,1026,978
701068,ALEKSINAC,JAKOVLJE,218,180
701076,ALEKSINAC,KAMENICA,84,62
701084,ALEKSINAC,KOPRIVNICA,183,116
701092,ALEKSINAC,KORMAN,428,411
701106,ALEKSINAC,KRUŠJE,175,128
701114,ALEKSINAC,KULINA,173,150
701122,ALEKSINAC,LOZNAC,139,114
701149,ALEKSINAC,LOĆIKA,251,213
701157,ALEKSINAC,LUŽANE,519,443
701165,ALEKSINAC,LJUPTEN,238,193
701173,ALEKSINAC,MALI DRENOVAC,101,85
701181,ALEKSINAC,MORAVAC,764,661
701190,ALEKSINAC,MORAVSKI BUJMIR,103,88
701203,ALEKSINAC,NOZRINA,400,327
701211,ALEKSINAC,PORODIN,116,95
701220,ALEKSINAC,PRĆILOVICA,827,792
701238,ALEKSINAC,RADEVCE,262,209
701246,CRVENI KRST,SEČANICA,380,276
701254,ALEKSINAC,SREZOVAC,103,99
701262,ALEKSINAC,STUBLINA,106,83
701289,CRVENI KRST,SUPOVAC,320,187
701297,ALEKSINAC,TEŠICA,842,703
701319,ALEKSINAC,TRNJANE,652,629
701327,ALEKSINAC,ČESTA,121,86
701335,ALEKSINAC,ČUKUROVAC,125,100
701343,ALEKSINAC,ŠURIĆ,82,70
701351,ARANĐELOVAC,ARANĐELOVAC,6069,5384
701360,ARANĐELOVAC,BANJA,1357,1033
701378,TOPOLA,BELOSAVCI,563,450
701386,TOPOLA,BLAZNAVA,418,365
701394,TOPOLA,BOŽURNJA,550,446
701408,ARANĐELOVAC,BREZOVAC,406,255
701416,ARANĐELOVAC,BUKOVIK,1394,1151
701424,TOPOLA,VINČA,505,404
701432,KRAGUJEVAC,VLAKČA,423,316
701459,ARANĐELOVAC,VRBICA,2115,1638
701467,ARANĐELOVAC,VUKOSAVCI,251,173
701475,ARANĐELOVAC,GARAŠI,433,337
701483,ARANĐELOVAC,GORNJA TREŠNJEVICA,407,334
701491,TOPOLA,GORNJA ŠATORNJA,366,298
701505,TOPOLA,DONJA TREŠNJEVICA,153,117
701513,TOPOLA,DONJA ŠATORNJA,489,429
701521,TOPOLA,ZAGORICA,343,268
701530,TOPOLA,JELENAC,166,149
701548,ARANĐELOVAC,JELOVIK,300,248
701556,ARANĐELOVAC,KOPLJARE,518,488
701564,KRAGUJEVAC,KOTRAŽA,170,144
701572,TOPOLA,LIPOVAC,344,287
701599,KRAGUJEVAC,LJUBIČEVAC,123,110
701602,MLADENOVAC,MARKOVAC,505,379
701629,TOPOLA,MASKAR,172,163
701637,KRAGUJEVAC,MASLOŠEVO,281,247
701645,ARANĐELOVAC,MISAČA,385,359
701653,TOPOLA,OVSIŠTE,375,317
701661,ARANĐELOVAC,ORAŠAC,901,855
701670,TOPOLA,PLASKOVAC,230,162
701688,TOPOLA,RAJKOVAC,119,105
701696,ARANĐELOVAC,STOJNIK,574,447
701700,KRAGUJEVAC,STRAGARI,691,610
701718,TOPOLA,TOPOLA (VAROŠICA),2023,1965
701726,TOPOLA,TOPOLA (SELO),1276,1091
