geoidentifikator,naziv,tip_ustanove,kategorija,opstina,mesto,ulica,kucni_broj,rastojanje_m,biraca_prebivaliste,biraca_boraviste,biraca_ukupno,lat,lon
SRBRGI2013597,Вртић „Таша”,предшколска установа,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),МИЛОЈА ПАВЛОВИЋА,12,7.8,9,0,9,44.753728,20.475777
SRBRGI2014720,Дом за стара лица „Misericordia”,дом за старе,stambeno-moguce,КИКИНДА,КИКИНДА,КРАЉА ПЕТРА ПРВОГ,116,9.9,9,0,9,45.836757,20.477209
SRBRGI2015377,Дом здравља „Др Милан – Бане Ђорђевић” – здравствена станица Милошевац,амбуланта,nestambeno,ВЕЛИКА ПЛАНА,МИЛОШЕВАЦ,ХАЈДУК СТАНКА,1,7.7,9,0,9,44.440009,21.110847
SRBRGI2017463,Приватна ветеринарска амбуланта за кућне љубимце „Caninus medic“,објекат ветерине,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),ЖИТНА,13,0.2,9,0,9,44.748048,20.503365
SRBRGI2017482,Приватна ветеринарска амбуланта „Family Pet“,објекат ветерине,nestambeno,ВРАЧАР,БЕОГРАД (ВРАЧАР),МИШАРСКА,4,0.1,9,0,9,44.806914,20.465561
SRBRGI2017549,Приватна ветеринарска амбуланта за кућне љубимце „DoggyLand Dr“,објекат ветерине,nestambeno,ЧУКАРИЦА,БЕОГРАД (ЧУКАРИЦА),РЕПИШКА,15,0.8,9,0,9,44.761944,20.416889
SRBRGI2017873,Приватна ветеринарска амбуланта „Гор-Бан-Вет“,објекат ветерине,nestambeno,ВРАЊЕ,ВРАЊЕ,ПАРТИЗАНСКИ ПУТ,50,1.9,9,0,9,42.539728,21.902832
SRBRGI2018009,Приватна ветеринарска амбуланта „ВетМед“,објекат ветерине,nestambeno,ЛОЗНИЦА,БАЊА КОВИЉАЧА,ИВЕ ЛОЛЕ РИБАРА,26,1.0,9,0,9,44.513731,19.148318
SRBRGI2001639,Црква Светог Јована Златоустог,црква,nestambeno,БАЧКА ПАЛАНКА,СИЛБАШ,БРАЋЕ НОВАКОВ,7,13.6,8,0,8,45.394116,19.461991
SRBRGI2002856,Месна заједница Гаврило Принцип,месна заједница,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),БАЛКАНСКА,34,3.2,8,0,8,44.809843,20.459053
SRBRGI2003836,Председник општине Ада,органи општине,nestambeno,АДА,АДА,ТРГ ОСЛОБОЂЕЊА,1,4.1,8,0,8,45.796408,20.13353
SRBRGI2003837,Општинско веће Ада,органи општине,nestambeno,АДА,АДА,ТРГ ОСЛОБОЂЕЊА,1,3.3,8,0,8,45.796405,20.133467
SRBRGI2003838,Скупштина општине Ада,органи општине,nestambeno,АДА,АДА,ТРГ ОСЛОБОЂЕЊА,1,5.4,8,0,8,45.796409,20.13355
SRBRGI2003839,Општинска управа Ада,органи општине,nestambeno,АДА,АДА,ТРГ ОСЛОБОЂЕЊА,1,7.2,8,0,8,45.796408,20.133576
